name,type,location,address,distance,rating,business_area
粑粑坊(吉庆街店),餐饮服务;餐饮相关场所;餐饮相关,"114.290197,30.584481",吉庆街41号附1号(循礼门地铁站H口步行390米),275,4.4,江滩
夏记火煲砂锅,餐饮服务;中餐厅;火锅店,"114.289397,30.589341",黄石路上智中学对面安静社区里面11号楼1层3室,275,4.6,大智路
安静小吃店,餐饮服务;中餐厅;中餐厅,"114.289357,30.589332",球场街安静新村11号楼1层5室,275,3.6,大智路
重庆小面(安静社区店),餐饮服务;快餐厅;快餐厅,"114.289330,30.589326",球场街街道黄石路安静小区11号楼,275,3.9,大智路
蛋仔冰激凌餐车(泰宁社区北区店),餐饮服务;快餐厅;快餐厅,"114.287614,30.585782",大智街街道京汉大道856号附2号罗妈砂锅(江汉路店)对面,275,2,江滩
涮盟火锅·铜锅涮羊肉(江汉路店),餐饮服务;中餐厅;火锅店,"114.287896,30.585385",保成路122号1栋1层(循礼门地铁站H口旁),277,4.6,江滩
水果炒冰,餐饮服务;冷饮店;冷饮店,"114.287572,30.585812",京汉大道856附1(循礼门地铁站H口步行50米),277,3.6,大智路
老汉口鹏记热干面,餐饮服务;中餐厅;中餐厅,"114.287876,30.585402",泰宁社区南区东北门旁(循礼门地铁站H口),278,4.1,大智路
砂锅狠灶(江汉路店),餐饮服务;餐饮相关场所;餐饮相关,"114.287565,30.585788",京汉大道856号附2号(循礼门地铁站H口步行50米),279,4.8,江滩
吴氏葱油饼(福忠里店),餐饮服务;餐饮相关场所;餐饮相关,"114.290734,30.584482",南京路118号(循礼门地铁站H口步行390米),280,4.7,江滩
光鲜生鲜超市(景福小区店),餐饮服务;餐饮相关场所;餐饮相关,"114.292963,30.587659",瑞祥路16号(光鲜生鲜超市门口),280,3.9,大智路
贺记卤味(胜利街店),餐饮服务;餐饮相关场所;餐饮相关,"114.292962,30.587667",瑞祥路16号(光鲜生鲜超市门口),280,4.2,大智路
Hello面包循礼门店,餐饮服务;糕饼店;糕饼店,"114.287952,30.585281",大智街街道保成路120号,281,4.7,江滩
红油拉面刀削面(安静社区店),餐饮服务;餐饮相关场所;餐饮相关,"114.289444,30.589415",安静小区11号楼,282,4.4,大智路
三镇民生甜食馆(瑞祥路店),餐饮服务;中餐厅;中餐厅,"114.292902,30.587911",瑞祥路16号附3号,284,4.5,大智路
塔克餐饮店,餐饮服务;中餐厅;中餐厅,"114.292887,30.585962",黄石路与江汉二路交叉口北60米,284,2.1,江滩
钱广餐厅(安静社区店),餐饮服务;中餐厅;中餐厅,"114.289537,30.589468",安静社区西北门东南80米,286,3.7,大智路
不凹包鲜包精选店,餐饮服务;餐饮相关场所;餐饮相关,"114.288636,30.589171",安静社区一号,286,4.4,大智路
永洪串串香(循礼门旗舰店),餐饮服务;中餐厅;火锅店,"114.287590,30.585624",京汉大道856号(循礼门站H出口左侧),286,4.5,江滩
鲷鱼烧(保成路店),餐饮服务;中餐厅;中餐厅,"114.287755,30.585412",泰宁社区北区西南门旁(循礼门地铁站H口旁),286,4.3,江滩
宋嫂热干面(金业里小区店),餐饮服务;中餐厅;中餐厅,"114.290077,30.584379",金业里小区(循礼门地铁站H口步行360米),286,4,大智路
刘氏现炒盖浇饭(安静社区店),餐饮服务;中餐厅;中餐厅,"114.289495,30.589468",安静社区西北门东南80米,286,3.9,大智路
老味馄饨(景福小区店),餐饮服务;中餐厅;中餐厅,"114.292929,30.587929",景福小区西南门旁,287,3.8,江滩
罗妈砂锅(江汉路店),餐饮服务;中餐厅;中餐厅,"114.287498,30.585718",京汉大道856号附2号(循礼门地铁站H口旁),288,4.7,江滩
涓涓农家菜馆(瑞祥路店),餐饮服务;中餐厅;中餐厅,"114.293153,30.587198",瑞祥路4-6号,289,4.4,江滩
煲煲香快餐(南京路店),餐饮服务;快餐厅;快餐厅,"114.290791,30.584409",南京路116号中百超市对面,289,4.1,江滩
辛怡面馆,餐饮服务;中餐厅;中餐厅,"114.287849,30.588643",武汉剧院村西北门东北50米,289,3.8,大智路
奇君甜品(循礼门店),餐饮服务;甜品店;甜品店,"114.287634,30.588412",解放大道1018号循礼门车站(近武汉剧院),290,4.6,大智路
矮子牛肉面馆(保成路),餐饮服务;中餐厅;中餐厅,"114.288643,30.584668",保成路118号(循礼门地铁站H口步行130米),292,4.3,江滩
面面不忘(汉港大厦店),餐饮服务;餐饮相关场所;餐饮相关,"114.292582,30.585339",黄石路特1号汉港大厦1层1室,294,4.4,江滩
瘦子牛肉面馆,餐饮服务;中餐厅;中餐厅,"114.288716,30.584614",保成路118号附1号,294,3.6,江滩
素映象手工皮艺馆(安静社区店),购物服务;服装鞋帽皮具店;服装鞋帽皮具店|餐饮服务;餐饮相关场所;餐饮相关,"114.288469,30.589178",安静社区西南2门旁,295,3.7,大智路
面面不忘(汉港大厦店),餐饮服务;餐饮相关场所;餐饮相关,"114.292582,30.585339",黄石路特1号汉港大厦1层1室,294,4.4,江滩
瘦子牛肉面馆,餐饮服务;中餐厅;中餐厅,"114.288716,30.584614",保成路118号附1号,294,3.6,江滩
素映象手工皮艺馆(安静社区店),购物服务;服装鞋帽皮具店;服装鞋帽皮具店|餐饮服务;餐饮相关场所;餐饮相关,"114.288469,30.589178",安静社区西南2门旁,295,3.7,大智路
巷子口过早,餐饮服务;中餐厅;中餐厅,"114.292274,30.585015",江汉二路157号附1号,296,4.5,前进
老钱烤物灶,餐饮服务;中餐厅;中餐厅,"114.288125,30.584925",保成路122号泰宁社区南区,297,2.4,大智路
